secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,expiration,rate
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-02,0
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-03,0
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-05,0
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-08,0.487354
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-10,1.073267
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-12,0.988048
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-16,1.120525
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-17,1.079951
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-19,1.010607
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-22,1.117373
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-24,1.074427
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-26,0.903704
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-29,0.920934
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-01-31,0.955393
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-02-02,1.052768
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-02-05,1.062698
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-02-07,1.08767
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-02-09,1.288175
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-02-16,1.55849
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-02-23,1.551186
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-02-28,1.660351
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-03-16,1.722212
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-03-29,1.560386
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-04-20,1.495554
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-04-30,1.441581
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-05-31,1.604671
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-06-15,1.649224
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-06-29,1.555856
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-09-21,1.580511
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-09-28,1.564971
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-12-21,1.584128
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2018-12-31,1.575924
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2019-01-18,1.544928
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.616435
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.612404
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.619251
108105,2018-01-02,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.736423
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-03,0
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-05,0
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-08,0.147589
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-10,0.626772
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-12,0.637668
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-16,0.655503
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-17,0.684349
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-19,0.655352
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-22,0.754698
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-24,0.758289
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-26,0.593767
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-29,0.636905
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-01-31,0.718875
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-02-02,0.809972
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-02-05,0.845431
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-02-07,0.875054
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-02-09,1.099004
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-02-16,1.346832
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-02-23,1.386882
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-02-28,1.528536
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-03-16,1.577263
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-03-29,1.452322
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-04-20,1.408057
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-04-30,1.392808
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-05-31,1.560207
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-06-15,1.596159
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-06-29,1.509884
108105,2018-01-03,64881510,SPX,9999,1,32768,,A,,2018-09-21,1.544603
