secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,maturity_days,maturity_years,mid_price,strike
108105,2021-06-01,SPX 210618C2590000,1,2021-06-18,,C,2590000,1605.4,1609.9,0,0,0.66004,0.998746,1e-06,0.613299,96.0775,137663482,1,1,100,0,,,,,17,0.0465753424657534,1607.65,2590.0
108105,2021-06-01,SPX 210618C2610000,1,2021-06-18,,C,2610000,1585.4,1589.9,0,0,0.649027,0.998747,1e-06,0.609962,96.16489,137642696,1,1,100,0,,,,,17,0.0465753424657534,1587.65,2610.0
108105,2021-06-01,SPX 210618C2620000,1,2021-06-18,2021-05-19,C,2620000,1575.4,1579.9,0,1,0.643551,0.998748,1e-06,0.608219,96.20861,137642697,1,1,100,0,,,,,17,0.0465753424657534,1577.65,2620.0
108105,2021-06-01,SPX 210618C2625000,1,2021-06-18,2021-05-19,C,2625000,1570.4,1574.9,0,141,0.64082,0.998748,1e-06,0.607328,96.23048,129499409,1,1,100,0,,,,,17,0.0465753424657534,1572.65,2625.0
108105,2021-06-01,SPX 210618C2630000,1,2021-06-18,,C,2630000,1565.4,1569.9,0,0,0.638094,0.998749,1e-06,0.606424,96.25236,137642698,1,1,100,0,,,,,17,0.0465753424657534,1567.65,2630.0
108105,2021-06-01,SPX 210618C2640000,1,2021-06-18,,C,2640000,1555.4,1559.9,0,0,0.632657,0.998749,1e-06,0.604576,96.29612,137642699,1,1,100,0,,,,,17,0.0465753424657534,1557.65,2640.0
108105,2021-06-01,SPX 210618C2650000,1,2021-06-18,2021-05-19,C,2650000,1545.4,1549.9,0,796,0.62724,0.99875,1e-06,0.602675,96.33991,129499410,1,1,100,0,,,,,17,0.0465753424657534,1547.65,2650.0
108105,2021-06-01,SPX 210618C2660000,1,2021-06-18,2021-01-27,C,2660000,1535.4,1540.0,0,2,0.672552,0.998464,3e-06,1.463588,89.3884,137642700,1,1,100,0,,,,,17,0.0465753424657534,1537.7,2660.0
108105,2021-06-01,SPX 210618C2670000,1,2021-06-18,2021-05-19,C,2670000,1525.4,1530.0,0,1,0.667128,0.998462,3e-06,1.468872,89.43134,137642701,1,1,100,0,,,,,17,0.0465753424657534,1527.7,2670.0
108105,2021-06-01,SPX 210618C2675000,1,2021-06-18,2021-05-19,C,2675000,1520.4,1524.9,0,755,0.61378,0.998751,1e-06,0.59768,96.44949,129499411,1,1,100,0,,,,,17,0.0465753424657534,1522.65,2675.0
108105,2021-06-01,SPX 210618C2680000,1,2021-06-18,2021-03-03,C,2680000,1515.4,1520.0,0,2,0.661724,0.99846,3e-06,1.474195,89.47429,137642702,1,1,100,0,,,,,17,0.0465753424657534,1517.7,2680.0
108105,2021-06-01,SPX 210618C2690000,1,2021-06-18,,C,2690000,1505.5,1510.0,0,0,0.68357,0.998196,4e-06,2.227639,83.19883,137642703,1,1,100,0,,,,,17,0.0465753424657534,1507.75,2690.0
