secid,date,low,high,close,volume,return,cfadj,open,cfret,shrout
108105,2019-01-02,2467.47,2519.49,2510.03,0,0.001268,1,2476.96,1,0
108105,2019-01-03,2443.96,2493.14,2447.89,0,-0.024757,1,2491.92,1,0
108105,2019-01-04,2474.33,2538.07,2531.94,0,0.034336,1,2474.33,1,0
108105,2019-01-07,2524.56,2566.16,2549.69,0,0.00701,1,2535.61,1,0
108105,2019-01-08,2547.56,2579.82,2574.41,0,0.009695,1,2568.11,1,0
108105,2019-01-09,2568.89,2595.32,2584.96,0,0.004098,1,2580,1,0
108105,2019-01-10,2562.02,2597.82,2596.64,0,0.004518,1,2573.51,1,0
108105,2019-01-11,2577.4,2596.27,2596.26,0,-0.000146,1,2588.11,1,0
108105,2019-01-14,2570.41,2589.32,2582.61,0,-0.005258,1,2580.31,1,0
108105,2019-01-15,2585.1,2613.08,2610.3,0,0.010722,1,2585.1,1,0
108105,2019-01-16,2612.68,2625.76,2616.1,0,0.002222,1,2614.75,1,0
108105,2019-01-17,2606.36,2645.06,2635.96,0,0.007591,1,2609.28,1,0
108105,2019-01-18,2647.58,2675.47,2670.71,0,0.013183,1,2651.27,1,0
108105,2019-01-22,2617.27,2657.88,2632.9,0,-0.014157,1,2657.88,1,0
108105,2019-01-23,2612.86,2653.19,2638.7,0,0.002203,1,2643.48,1,0
108105,2019-01-24,2627.01,2647.2,2642.33,0,0.001376,1,2638.84,1,0
108105,2019-01-25,2657.33,2672.38,2664.76,0,0.008489,1,2657.44,1,0
108105,2019-01-28,2624.06,2644.97,2643.85,0,-0.007847,1,2644.97,1,0
108105,2019-01-29,2631.05,2650.93,2640,0,-0.001456,1,2644.89,1,0
108105,2019-01-30,2648.34,2690.44,2681.05,0,0.015549,1,2653.62,1,0
108105,2019-01-31,2678.65,2708.95,2704.1,0,0.008597,1,2685.49,1,0
108105,2019-02-01,2696.88,2716.66,2706.53,0,0.000899,1,2702.32,1,0
108105,2019-02-04,2698.75,2724.99,2724.87,0,0.006776,1,2706.49,1,0
108105,2019-02-05,2724.03,2738.98,2737.7,0,0.004708,1,2728.34,1,0
108105,2019-02-06,2724.15,2738.08,2731.61,0,-0.002224,1,2735.05,1,0
108105,2019-02-07,2687.26,2719.32,2706.05,0,-0.009357,1,2717.53,1,0
108105,2019-02-08,2681.83,2708.07,2707.88,0,0.000676,1,2692.36,1,0
108105,2019-02-11,2703.79,2718.05,2709.8,0,0.000709,1,2712.4,1,0
108105,2019-02-12,2722.61,2748.19,2744.73,0,0.01289,1,2722.61,1,0
108105,2019-02-13,2748.63,2761.85,2753.03,0,0.003024,1,2750.3,1,0
108105,2019-02-14,2731.23,2757.9,2745.73,0,-0.002652,1,2743.5,1,0
108105,2019-02-15,2760.24,2775.66,2775.6,0,0.010879,1,2760.24,1,0
108105,2019-02-19,2767.29,2787.33,2779.76,0,0.001499,1,2769.28,1,0
108105,2019-02-20,2774.06,2789.88,2784.7,0,0.001777,1,2779.05,1,0
108105,2019-02-21,2764.55,2781.58,2774.88,0,-0.003526,1,2780.24,1,0
108105,2019-02-22,2779.11,2794.2,2792.67,0,0.006411,1,2780.67,1,0
108105,2019-02-25,2794.99,2813.49,2796.11,0,0.001232,1,2804.35,1,0
108105,2019-02-26,2789.47,2803.12,2793.9,0,-0.00079,1,2792.36,1,0
108105,2019-02-27,2775.13,2795.76,2792.38,0,-0.000544,1,2787.5,1,0
108105,2019-02-28,2782.51,2793.73,2784.49,0,-0.002826,1,2788.11,1,0
108105,2019-03-01,2787.38,2808.02,2803.69,0,0.006895,1,2798.22,1,0
108105,2019-03-04,2767.66,2816.88,2792.81,0,-0.003881,1,2814.37,1,0
108105,2019-03-05,2782.97,2796.44,2789.65,0,-0.001132,1,2794.41,1,0
108105,2019-03-06,2768.69,2790.27,2771.45,0,-0.006524,1,2790.27,1,0
108105,2019-03-07,2739.09,2767.25,2748.93,0,-0.008126,1,2766.53,1,0
108105,2019-03-08,2722.27,2744.13,2743.07,0,-0.002132,1,2730.79,1,0
108105,2019-03-11,2747.61,2784,2783.3,0,0.014666,1,2747.61,1,0
108105,2019-03-12,2786.73,2798.32,2791.52,0,0.002953,1,2787.34,1,0
108105,2019-03-13,2799.78,2821.24,2810.92,0,0.00695,1,2799.78,1,0
108105,2019-03-14,2803.46,2815,2808.48,0,-0.000868,1,2810.38,1,0
108105,2019-03-15,2810.79,2830.73,2822.48,0,0.004985,1,2810.79,1,0
108105,2019-03-18,2821.99,2835.41,2832.94,0,0.003706,1,2822.61,1,0
108105,2019-03-19,2823.27,2852.42,2832.57,0,-0.000131,1,2840.76,1,0
108105,2019-03-20,2812.43,2843.54,2824.23,0,-0.002944,1,2831.34,1,0
108105,2019-03-21,2817.38,2860.31,2854.88,0,0.010852,1,2819.72,1,0
108105,2019-03-22,2800.47,2846.16,2800.71,0,-0.018974,1,2844.52,1,0
108105,2019-03-25,2785.02,2809.79,2798.36,0,-0.000839,1,2796.01,1,0
108105,2019-03-26,2803.99,2829.87,2818.46,0,0.007183,1,2812.66,1,0
108105,2019-03-27,2787.72,2825.56,2805.37,0,-0.004644,1,2819.72,1,0
108105,2019-03-28,2798.77,2819.71,2815.44,0,0.003589,1,2809.4,1,0
108105,2019-03-29,2819.23,2836.03,2834.4,0,0.006734,1,2828.27,1,0
108105,2019-04-01,2848.63,2869.4,2867.19,0,0.011569,1,2848.63,1,0
108105,2019-04-02,2858.75,2872.9,2867.24,0,1.7e-05,1,2868.24,1,0
108105,2019-04-03,2865.17,2885.25,2873.4,0,0.002148,1,2876.09,1,0
108105,2019-04-04,2867.14,2881.28,2879.39,0,0.002085,1,2873.99,1,0
108105,2019-04-05,2882.99,2893.24,2892.74,0,0.004636,1,2884.16,1,0
108105,2019-04-08,2880.78,2895.95,2895.77,0,0.001047,1,2888.46,1,0
108105,2019-04-09,2873.33,2886.88,2878.2,0,-0.006067,1,2886.58,1,0
108105,2019-04-10,2879.13,2889.71,2888.21,0,0.003478,1,2881.37,1,0
108105,2019-04-11,2881.99,2893.42,2888.32,0,3.8e-05,1,2891.92,1,0
108105,2019-04-12,2898.37,2910.54,2907.41,0,0.006609,1,2900.86,1,0
108105,2019-04-15,2896.48,2909.6,2905.58,0,-0.000629,1,2908.32,1,0
108105,2019-04-16,2900.71,2916.06,2907.06,0,0.000509,1,2912.26,1,0
108105,2019-04-17,2895.45,2918,2900.45,0,-0.002274,1,2916.04,1,0
108105,2019-04-18,2891.9,2908.4,2905.03,0,0.001579,1,2904.81,1,0
108105,2019-04-22,2896.35,2909.51,2907.97,0,0.001012,1,2898.78,1,0
108105,2019-04-23,2908.53,2936.31,2933.68,0,0.008841,1,2909.99,1,0
108105,2019-04-24,2926.05,2936.83,2927.25,0,-0.002192,1,2934,1,0
108105,2019-04-25,2912.84,2933.1,2926.17,0,-0.000369,1,2928.99,1,0
108105,2019-04-26,2917.56,2939.88,2939.88,0,0.004685,1,2925.81,1,0
108105,2019-04-29,2939.35,2949.52,2943.03,0,0.001072,1,2940.58,1,0
108105,2019-04-30,2924.11,2948.22,2945.83,0,0.000951,1,2937.14,1,0
108105,2019-05-01,2923.36,2954.13,2923.73,0,-0.007502,1,2952.33,1,0
108105,2019-05-02,2900.5,2931.68,2917.52,0,-0.002124,1,2922.16,1,0
108105,2019-05-03,2929.21,2947.85,2945.64,0,0.009638,1,2929.21,1,0
108105,2019-05-06,2898.21,2937.32,2932.47,0,-0.004471,1,2908.89,1,0
108105,2019-05-07,2862.6,2913.03,2884.05,0,-0.016512,1,2913.03,1,0
108105,2019-05-08,2873.28,2897.96,2879.42,0,-0.001605,1,2879.61,1,0
108105,2019-05-09,2836.4,2875.97,2870.72,0,-0.003021,1,2859.84,1,0
108105,2019-05-10,2825.39,2891.31,2881.4,0,0.00372,1,2863.1,1,0
108105,2019-05-13,2801.43,2840.19,2811.87,0,-0.024131,1,2840.19,1,0
108105,2019-05-14,2820.12,2852.54,2834.41,0,0.008016,1,2820.12,1,0
108105,2019-05-15,2815.08,2858.68,2850.96,0,0.005839,1,2820.38,1,0
108105,2019-05-16,2855.8,2892.15,2876.32,0,0.008895,1,2855.8,1,0
108105,2019-05-17,2854.23,2885.48,2859.53,0,-0.005837,1,2858.6,1,0
108105,2019-05-20,2831.29,2853.86,2840.23,0,-0.006749,1,2841.94,1,0
108105,2019-05-21,2854.02,2868.88,2864.36,0,0.008496,1,2854.02,1,0
108105,2019-05-22,2851.11,2865.47,2856.27,0,-0.002824,1,2856.06,1,0
108105,2019-05-23,2805.49,2836.7,2822.24,0,-0.011914,1,2836.7,1,0
108105,2019-05-24,2820.19,2841.36,2826.06,0,0.001354,1,2832.41,1,0
108105,2019-05-28,2801.58,2840.51,2802.39,0,-0.008376,1,2830.03,1,0
108105,2019-05-29,2766.06,2792.03,2783.02,0,-0.006912,1,2790.25,1,0
108105,2019-05-30,2776.74,2799,2788.86,0,0.002098,1,2786.94,1,0
108105,2019-05-31,2750.52,2768.98,2752.06,0,-0.013195,1,2766.15,1,0
108105,2019-06-03,2728.81,2763.07,2744.45,0,-0.002765,1,2751.53,1,0
108105,2019-06-04,2762.64,2804.49,2803.27,0,0.021432,1,2762.64,1,0
108105,2019-06-05,2800.92,2827.28,2826.15,0,0.008162,1,2818.09,1,0
108105,2019-06-06,2822.45,2852.1,2843.49,0,0.006136,1,2828.51,1,0
108105,2019-06-07,2852.87,2884.97,2873.34,0,0.010498,1,2852.87,1,0
108105,2019-06-10,2885.51,2904.77,2886.73,0,0.00466,1,2885.83,1,0
108105,2019-06-11,2878.53,2910.61,2885.72,0,-0.00035,1,2903.27,1,0
108105,2019-06-12,2874.68,2888.57,2879.84,0,-0.002038,1,2882.73,1,0
108105,2019-06-13,2881.99,2895.24,2891.64,0,0.004097,1,2886.24,1,0
108105,2019-06-14,2879.62,2894.45,2886.98,0,-0.001612,1,2886.82,1,0
108105,2019-06-17,2887.3,2897.27,2889.67,0,0.000932,1,2889.75,1,0
108105,2019-06-18,2905.44,2930.79,2917.75,0,0.009717,1,2906.71,1,0
108105,2019-06-19,2911.43,2931.74,2926.46,0,0.002985,1,2920.55,1,0
108105,2019-06-20,2931.5,2958.06,2954.18,0,0.009472,1,2949.6,1,0
108105,2019-06-21,2946.87,2964.15,2950.46,0,-0.001259,1,2952.71,1,0
108105,2019-06-24,2944.05,2954.92,2945.35,0,-0.001732,1,2951.42,1,0
108105,2019-06-25,2916.01,2946.52,2917.38,0,-0.009496,1,2945.78,1,0
108105,2019-06-26,2912.99,2932.59,2913.78,0,-0.001234,1,2926.07,1,0
108105,2019-06-27,2918.57,2929.3,2924.92,0,0.003823,1,2919.66,1,0
108105,2019-06-28,2929.05,2943.98,2941.76,0,0.005757,1,2932.94,1,0
108105,2019-07-01,2952.22,2977.93,2964.33,0,0.007672,1,2971.41,1,0
108105,2019-07-02,2955.92,2973.21,2973.01,0,0.002928,1,2964.66,1,0
108105,2019-07-03,2977.96,2995.84,2995.82,0,0.007672,1,2978.08,1,0
108105,2019-07-05,2967.97,2994.03,2990.41,0,-0.001806,1,2984.25,1,0
108105,2019-07-08,2970.09,2980.76,2975.95,0,-0.004835,1,2979.77,1,0
108105,2019-07-09,2963.44,2981.9,2979.63,0,0.001237,1,2965.52,1,0
108105,2019-07-10,2984.62,3002.98,2993.07,0,0.004511,1,2989.3,1,0
108105,2019-07-11,2988.8,3002.33,2999.91,0,0.002285,1,2999.62,1,0
108105,2019-07-12,3001.87,3013.92,3013.77,0,0.00462,1,3003.36,1,0
108105,2019-07-15,3008.77,3017.8,3014.3,0,0.000176,1,3017.8,1,0
108105,2019-07-16,3001.15,3015.02,3004.04,0,-0.003404,1,3012.13,1,0
108105,2019-07-17,2984.25,3005.26,2984.42,0,-0.006531,1,3005.1,1,0
108105,2019-07-18,2973.09,2998.28,2995.11,0,0.003582,1,2978.87,1,0
108105,2019-07-19,2975.86,3006.02,2976.61,0,-0.006177,1,3004.26,1,0
108105,2019-07-22,2976.65,2990.71,2985.03,0,0.002829,1,2981.93,1,0
108105,2019-07-23,2988.56,3005.9,3005.47,0,0.006847,1,2994.74,1,0
108105,2019-07-24,2996.82,3019.59,3019.56,0,0.004688,1,2998.77,1,0
108105,2019-07-25,2997.24,3016.31,3003.67,0,-0.005262,1,3016.26,1,0
108105,2019-07-26,3012.59,3027.98,3025.86,0,0.007388,1,3013.25,1,0
108105,2019-07-29,3014.3,3025.61,3020.97,0,-0.001616,1,3024.47,1,0
108105,2019-07-30,3000.94,3017.19,3013.18,0,-0.002579,1,3007.66,1,0
108105,2019-07-31,2958.08,3017.4,2980.38,0,-0.010886,1,3016.22,1,0
108105,2019-08-01,2945.23,3013.59,2953.56,0,-0.008999,1,2980.32,1,0
108105,2019-08-02,2914.11,2945.5,2932.05,0,-0.007283,1,2943.9,1,0
108105,2019-08-05,2822.12,2898.07,2844.74,0,-0.029778,1,2898.07,1,0
108105,2019-08-06,2847.42,2884.4,2881.77,0,0.013017,1,2861.18,1,0
108105,2019-08-07,2825.71,2892.17,2883.98,0,0.000767,1,2858.65,1,0
108105,2019-08-08,2894.47,2938.72,2938.09,0,0.018762,1,2896.21,1,0
108105,2019-08-09,2900.15,2935.75,2918.65,0,-0.006617,1,2930.51,1,0
108105,2019-08-12,2873.14,2907.58,2883.75,0,-0.011958,1,2907.07,1,0
108105,2019-08-13,2877.05,2943.31,2926.32,0,0.014762,1,2880.72,1,0
108105,2019-08-14,2839.64,2894.15,2840.6,0,-0.029293,1,2894.15,1,0
108105,2019-08-15,2825.51,2856.67,2847.6,0,0.002464,1,2846.2,1,0
108105,2019-08-16,2864.74,2893.63,2888.68,0,0.014426,1,2864.74,1,0
108105,2019-08-19,2913.48,2931,2923.65,0,0.012106,1,2913.48,1,0
108105,2019-08-20,2899.6,2923.63,2900.51,0,-0.007915,1,2919.01,1,0
108105,2019-08-21,2917.91,2928.73,2924.43,0,0.008247,1,2922.04,1,0
108105,2019-08-22,2904.51,2939.08,2922.95,0,-0.000506,1,2930.94,1,0
108105,2019-08-23,2834.97,2927.01,2847.11,0,-0.025946,1,2911.07,1,0
108105,2019-08-26,2856,2879.27,2878.38,0,0.010983,1,2866.7,1,0
108105,2019-08-27,2860.59,2898.79,2869.16,0,-0.003203,1,2893.14,1,0
108105,2019-08-28,2853.05,2890.03,2887.94,0,0.006545,1,2861.28,1,0
108105,2019-08-29,2905.67,2930.5,2924.58,0,0.012687,1,2910.37,1,0
108105,2019-08-30,2913.32,2940.43,2926.46,0,0.000643,1,2937.09,1,0
108105,2019-09-03,2891.85,2914.39,2906.27,0,-0.006899,1,2909.01,1,0
108105,2019-09-04,2921.86,2938.84,2937.78,0,0.010842,1,2924.67,1,0
108105,2019-09-05,2960.6,2985.86,2976,0,0.01301,1,2960.6,1,0
108105,2019-09-06,2972.51,2985.03,2978.71,0,0.000911,1,2980.33,1,0
108105,2019-09-09,2969.39,2989.43,2978.43,0,-9.4e-05,1,2988.43,1,0
108105,2019-09-10,2957.01,2979.39,2979.39,0,0.000322,1,2971.01,1,0
108105,2019-09-11,2975.31,3000.93,3000.93,0,0.00723,1,2981.41,1,0
108105,2019-09-12,3000.92,3020.74,3009.57,0,0.002879,1,3009.08,1,0
108105,2019-09-13,3002.9,3017.33,3007.39,0,-0.000724,1,3012.21,1,0
108105,2019-09-16,2990.67,3002.19,2997.96,0,-0.003136,1,2996.41,1,0
108105,2019-09-17,2993.73,3006.21,3005.7,0,0.002582,1,2995.67,1,0
108105,2019-09-18,2978.57,3007.83,3006.73,0,0.000343,1,3001.5,1,0
108105,2019-09-19,3003.16,3021.99,3006.79,0,2e-05,1,3010.36,1,0
108105,2019-09-20,2984.68,3016.37,2992.07,0,-0.004896,1,3008.42,1,0
108105,2019-09-23,2982.23,2999.15,2991.78,0,-9.7e-05,1,2983.5,1,0
108105,2019-09-24,2957.73,3007.98,2966.6,0,-0.008416,1,3002.43,1,0
108105,2019-09-25,2952.86,2989.82,2984.87,0,0.006159,1,2968.35,1,0
108105,2019-09-26,2963.71,2987.28,2977.62,0,-0.002429,1,2985.73,1,0
108105,2019-09-27,2945.53,2987.31,2961.79,0,-0.005316,1,2985.47,1,0
108105,2019-09-30,2967.07,2983.85,2976.74,0,0.005048,1,2967.07,1,0
108105,2019-10-01,2938.7,2992.53,2940.25,0,-0.012258,1,2983.69,1,0
108105,2019-10-02,2874.93,2924.78,2887.61,0,-0.017903,1,2924.78,1,0
108105,2019-10-03,2855.94,2911.13,2910.63,0,0.007972,1,2885.38,1,0
108105,2019-10-04,2918.56,2953.74,2952.01,0,0.014217,1,2918.56,1,0
