secid,date,low,high,close,volume,return,cfadj,open,cfret,shrout
108105,2022-01-03,4758.17,4796.64,4796.56,0,0.006374,1,4778.14,1,0
108105,2022-01-04,4774.27,4818.62,4793.54,0,-0.00063,1,4804.51,1,0
108105,2022-01-05,4699.44,4797.7,4700.58,0,-0.019393,1,4787.99,1,0
108105,2022-01-06,4671.26,4725.01,4696.05,0,-0.000964,1,4693.39,1,0
108105,2022-01-07,4662.74,4707.95,4677.03,0,-0.00405,1,4697.66,1,0
108105,2022-01-10,4582.24,4673.02,4670.29,0,-0.001441,1,4655.34,1,0
108105,2022-01-11,4638.27,4714.13,4713.07,0,0.00916,1,4669.14,1,0
108105,2022-01-12,4706.71,4748.83,4726.35,0,0.002818,1,4728.59,1,0
108105,2022-01-13,4650.29,4744.13,4659.03,0,-0.014244,1,4733.56,1,0
108105,2022-01-14,4614.75,4665.13,4662.85,0,0.00082,1,4637.99,1,0
108105,2022-01-18,4568.7,4632.24,4577.11,0,-0.018388,1,4632.24,1,0
108105,2022-01-19,4530.2,4611.55,4532.76,0,-0.00969,1,4588.03,1,0
108105,2022-01-20,4477.95,4602.11,4482.73,0,-0.011037,1,4547.35,1,0
108105,2022-01-21,4395.34,4494.52,4397.94,0,-0.018915,1,4471.38,1,0
108105,2022-01-24,4222.62,4417.35,4410.13,0,0.002772,1,4356.32,1,0
108105,2022-01-25,4287.11,4411.01,4356.45,0,-0.012172,1,4366.64,1,0
108105,2022-01-26,4304.8,4453.23,4349.93,0,-0.001497,1,4408.43,1,0
108105,2022-01-27,4309.5,4428.74,4326.51,0,-0.005384,1,4380.58,1,0
108105,2022-01-28,4292.46,4432.72,4431.85,0,0.024348,1,4336.19,1,0
108105,2022-01-31,4414.02,4516.89,4515.55,0,0.018886,1,4431.79,1,0
108105,2022-02-01,4483.53,4550.49,4546.54,0,0.006863,1,4519.57,1,0
108105,2022-02-02,4544.32,4595.31,4589.38,0,0.009423,1,4566.39,1,0
108105,2022-02-03,4470.39,4542.88,4477.44,0,-0.024391,1,4535.41,1,0
108105,2022-02-04,4451.5,4539.66,4500.53,0,0.005157,1,4482.79,1,0
108105,2022-02-07,4471.47,4521.86,4483.87,0,-0.003702,1,4505.75,1,0
108105,2022-02-08,4465.4,4531.32,4521.54,0,0.008401,1,4480.02,1,0
108105,2022-02-09,4547,4590.03,4587.18,0,0.014517,1,4547,1,0
108105,2022-02-10,4484.31,4588.92,4504.08,0,-0.018116,1,4553.24,1,0
108105,2022-02-11,4401.41,4526.33,4418.64,0,-0.018969,1,4506.27,1,0
108105,2022-02-14,4364.84,4426.22,4401.67,0,-0.003841,1,4412.61,1,0
108105,2022-02-15,4429.28,4472.77,4471.07,0,0.015767,1,4429.28,1,0
108105,2022-02-16,4429.68,4489.55,4475.01,0,0.000881,1,4455.75,1,0
108105,2022-02-17,4373.81,4456.06,4380.26,0,-0.021173,1,4456.06,1,0
