secid,date,low,high,close,volume,return,cfadj,open,cfret,shrout
108105,2021-01-04,3662.71,3769.99,3700.65,0,-0.014755,1,3764.61,1,0
108105,2021-01-05,3695.07,3737.83,3726.86,0,0.007083,1,3698.02,1,0
108105,2021-01-06,3705.34,3783.04,3748.14,0,0.00571,1,3712.2,1,0
108105,2021-01-07,3764.71,3811.55,3803.79,0,0.014847,1,3764.71,1,0
108105,2021-01-08,3783.6,3826.69,3824.68,0,0.005492,1,3815.05,1,0
108105,2021-01-11,3789.02,3817.86,3799.61,0,-0.006555,1,3803.14,1,0
108105,2021-01-12,3776.51,3810.78,3801.19,0,0.000416,1,3801.62,1,0
108105,2021-01-13,3791.5,3820.96,3809.84,0,0.002276,1,3802.23,1,0
108105,2021-01-14,3792.86,3823.6,3795.54,0,-0.003753,1,3814.98,1,0
108105,2021-01-15,3749.62,3788.73,3768.25,0,-0.00719,1,3788.73,1,0
108105,2021-01-19,3780.37,3804.53,3798.91,0,0.008136,1,3781.88,1,0
108105,2021-01-20,3816.22,3859.75,3851.85,0,0.013936,1,3816.22,1,0
108105,2021-01-21,3845.05,3861.45,3853.07,0,0.000317,1,3857.46,1,0
108105,2021-01-22,3830.41,3852.31,3841.47,0,-0.003011,1,3844.24,1,0
108105,2021-01-25,3797.16,3859.23,3855.36,0,0.003616,1,3851.68,1,0
108105,2021-01-26,3847.78,3870.9,3849.62,0,-0.001489,1,3862.96,1,0
108105,2021-01-27,3732.48,3836.83,3750.77,0,-0.025678,1,3836.83,1,0
108105,2021-01-28,3755.75,3830.5,3787.38,0,0.009761,1,3755.75,1,0
108105,2021-01-29,3694.12,3778.05,3714.24,0,-0.019311,1,3778.05,1,0
108105,2021-02-01,3725.62,3784.32,3773.86,0,0.016052,1,3731.17,1,0
108105,2021-02-02,3791.84,3843.09,3826.31,0,0.013898,1,3791.84,1,0
108105,2021-02-03,3816.68,3847.51,3830.17,0,0.001009,1,3840.27,1,0
108105,2021-02-04,3836.66,3872.42,3871.74,0,0.010853,1,3836.66,1,0
108105,2021-02-05,3874.93,3894.56,3886.83,0,0.003897,1,3878.3,1,0
108105,2021-02-08,3892.59,3915.77,3915.59,0,0.007399,1,3892.59,1,0
108105,2021-02-09,3902.64,3918.35,3911.23,0,-0.001114,1,3910.49,1,0
108105,2021-02-10,3884.94,3931.5,3909.88,0,-0.000345,1,3920.78,1,0
108105,2021-02-11,3890.39,3925.99,3916.38,0,0.001662,1,3916.4,1,0
108105,2021-02-12,3905.78,3937.23,3934.83,0,0.004711,1,3911.65,1,0
108105,2021-02-16,3923.85,3950.43,3932.59,0,-0.000569,1,3939.61,1,0
108105,2021-02-17,3900.43,3933.61,3931.33,0,-0.00032,1,3918.5,1,0
108105,2021-02-18,3885.03,3921.98,3913.97,0,-0.004416,1,3915.86,1,0
108105,2021-02-19,3903.07,3930.41,3906.71,0,-0.001855,1,3921.16,1,0
108105,2021-02-22,3874.71,3902.92,3876.5,0,-0.007733,1,3885.55,1,0
108105,2021-02-23,3805.59,3895.98,3881.37,0,0.001256,1,3857.07,1,0
108105,2021-02-24,3859.6,3928.65,3925.43,0,0.011352,1,3873.71,1,0
108105,2021-02-25,3814.04,3925.02,3829.34,0,-0.024479,1,3915.8,1,0
108105,2021-02-26,3789.54,3861.08,3811.15,0,-0.00475,1,3839.66,1,0
108105,2021-03-01,3842.51,3914.5,3901.82,0,0.023791,1,3842.51,1,0
108105,2021-03-02,3868.57,3906.41,3870.29,0,-0.008081,1,3903.64,1,0
108105,2021-03-03,3818.86,3874.47,3819.72,0,-0.013066,1,3863.99,1,0
108105,2021-03-04,3723.34,3843.67,3768.47,0,-0.013417,1,3818.53,1,0
108105,2021-03-05,3730.19,3851.69,3841.94,0,0.019496,1,3793.58,1,0
108105,2021-03-08,3819.25,3881.06,3821.35,0,-0.005359,1,3844.39,1,0
108105,2021-03-09,3851.93,3903.76,3875.44,0,0.014155,1,3851.93,1,0
108105,2021-03-10,3885.73,3917.35,3898.81,0,0.00603,1,3891.99,1,0
108105,2021-03-11,3915.54,3960.27,3939.34,0,0.010395,1,3915.54,1,0
108105,2021-03-12,3915.21,3944.99,3943.34,0,0.001015,1,3924.52,1,0
108105,2021-03-15,3923.54,3970.08,3968.94,0,0.006492,1,3942.96,1,0
108105,2021-03-16,3953.44,3981.04,3962.71,0,-0.00157,1,3973.59,1,0
108105,2021-03-17,3935.74,3983.87,3974.12,0,0.002879,1,3949.57,1,0
108105,2021-03-18,3910.86,3969.62,3915.46,0,-0.014761,1,3953.5,1,0
108105,2021-03-19,3886.75,3930.12,3913.1,0,-0.000603,1,3913.14,1,0
108105,2021-03-22,3914.16,3955.31,3940.59,0,0.007025,1,3916.48,1,0
108105,2021-03-23,3901.57,3949.13,3910.52,0,-0.007631,1,3937.6,1,0
108105,2021-03-24,3889.07,3942.08,3889.14,0,-0.005467,1,3919.93,1,0
108105,2021-03-25,3853.5,3919.54,3909.52,0,0.00524,1,3879.34,1,0
108105,2021-03-26,3917.12,3978.19,3974.54,0,0.016631,1,3917.12,1,0
108105,2021-03-29,3943.25,3981.83,3971.09,0,-0.000868,1,3969.31,1,0
108105,2021-03-30,3944.35,3968.01,3958.55,0,-0.003158,1,3963.34,1,0
108105,2021-03-31,3966.98,3994.41,3972.89,0,0.003622,1,3967.25,1,0
108105,2021-04-01,3992.78,4020.63,4019.87,0,0.011825,1,3992.78,1,0
108105,2021-04-05,4034.44,4083.42,4077.91,0,0.014438,1,4034.44,1,0
108105,2021-04-06,4068.14,4086.23,4073.94,0,-0.000974,1,4075.57,1,0
108105,2021-04-07,4068.31,4083.13,4079.95,0,0.001475,1,4074.29,1,0
108105,2021-04-08,4082.54,4098.19,4097.17,0,0.004221,1,4089.95,1,0
108105,2021-04-09,4095.51,4129.48,4128.8,0,0.00772,1,4096.11,1,0
108105,2021-04-12,4114.82,4131.76,4127.99,0,-0.000196,1,4124.71,1,0
108105,2021-04-13,4124.43,4148,4141.59,0,0.003294,1,4130.1,1,0
108105,2021-04-14,4120.87,4151.69,4124.66,0,-0.004088,1,4141.58,1,0
108105,2021-04-15,4139.76,4173.49,4170.42,0,0.011094,1,4139.76,1,0
108105,2021-04-16,4170.75,4191.31,4185.47,0,0.003609,1,4174.14,1,0
108105,2021-04-19,4150.47,4180.81,4163.26,0,-0.005307,1,4179.8,1,0
108105,2021-04-20,4118.38,4159.18,4134.94,0,-0.006802,1,4159.18,1,0
108105,2021-04-21,4126.35,4175.02,4173.42,0,0.009306,1,4128.42,1,0
108105,2021-04-22,4123.69,4179.57,4134.98,0,-0.009211,1,4170.46,1,0
108105,2021-04-23,4138.78,4194.17,4180.17,0,0.010929,1,4138.78,1,0
108105,2021-04-26,4182.36,4194.19,4187.62,0,0.001782,1,4185.03,1,0
108105,2021-04-27,4176.22,4193.35,4186.72,0,-0.000215,1,4188.25,1,0
108105,2021-04-28,4181.78,4201.53,4183.18,0,-0.000846,1,4185.14,1,0
108105,2021-04-29,4176.81,4218.78,4211.47,0,0.006763,1,4206.14,1,0
108105,2021-04-30,4174.85,4198.1,4181.17,0,-0.007195,1,4198.1,1,0
108105,2021-05-03,4188.03,4209.39,4192.66,0,0.002748,1,4191.98,1,0
108105,2021-05-04,4128.59,4179.04,4164.66,0,-0.006678,1,4179.04,1,0
108105,2021-05-05,4160.94,4187.72,4167.59,0,0.000703,1,4177.06,1,0
108105,2021-05-06,4147.33,4202.7,4201.62,0,0.008165,1,4169.14,1,0
108105,2021-05-07,4201.64,4238.04,4232.6,0,0.007373,1,4210.34,1,0
108105,2021-05-10,4188.13,4236.39,4188.43,0,-0.010436,1,4228.29,1,0
108105,2021-05-11,4111.53,4162.04,4152.1,0,-0.008674,1,4150.34,1,0
108105,2021-05-12,4056.88,4134.73,4063.04,0,-0.021449,1,4130.55,1,0
108105,2021-05-13,4074.99,4131.58,4112.5,0,0.012173,1,4074.99,1,0
108105,2021-05-14,4129.58,4183.13,4173.85,0,0.014918,1,4129.58,1,0
108105,2021-05-17,4142.69,4171.92,4163.29,0,-0.00253,1,4169.92,1,0
108105,2021-05-18,4125.99,4169.15,4127.83,0,-0.008517,1,4165.94,1,0
108105,2021-05-19,4061.41,4116.93,4115.68,0,-0.002943,1,4098.45,1,0
108105,2021-05-20,4121.97,4172.8,4159.12,0,0.010555,1,4121.97,1,0
108105,2021-05-21,4151.72,4188.72,4155.86,0,-0.000784,1,4168.61,1,0
108105,2021-05-24,4170.16,4209.52,4197.05,0,0.009911,1,4170.16,1,0
108105,2021-05-25,4182.52,4213.42,4188.13,0,-0.002125,1,4205.94,1,0
108105,2021-05-26,4184.11,4202.61,4195.99,0,0.001877,1,4191.59,1,0
108105,2021-05-27,4197.78,4213.38,4200.88,0,0.001165,1,4201.94,1,0
108105,2021-05-28,4203.57,4218.36,4204.11,0,0.000769,1,4210.77,1,0
108105,2021-06-01,4197.59,4234.12,4202.04,0,-0.000492,1,4216.52,1,0
108105,2021-06-02,4198.27,4217.37,4208.12,0,0.001447,1,4206.82,1,0
